state_name,rep_name,district_name,state,district,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
National,USA,USA,USA,,22000000,15000000,1626000,4228000,846000,8300000,1074000,7000000
Alabama,Bradley Byrne (AL-1),(AL-1),AL,1,76900,46800,1000,12400,2600,30800,2100,30100
Alabama,Martha Roby (AL-2),(AL-2),AL,2,66500,45300,1000,12800,2700,28800,2300,21200
Alabama,Mike Rogers (AL-3),(AL-3),AL,3,68300,46700,1000,12500,2600,30500,1900,21600
Alabama,Robert B. Aderholt (AL-4),(AL-4),AL,4,70900,46900,1000,12100,2600,31200,2500,24000
Alabama,Mo Brooks (AL-5),(AL-5),AL,5,65700,39600,800,9700,2000,27100,1800,26200
Alabama,Gary J. Palmer (AL-6),(AL-6),AL,6,54000,29400,600,7700,1600,19400,1300,24500
Alabama,Terri A. Sewell (AL-7),(AL-7),AL,7,78200,55300,1400,17100,3600,33100,2700,23000
Alaska,Don Young (AK-AL),(AK-AL),AK,0,64500,17200,3600,8900,1400,3300,2000,47300
Arizona,Tom O'Halleran (AZ-1),(AZ-1),AZ,1,49900,30700,7100,12100,1700,9700,2600,19300
Arizona,Martha McSally (AZ-2),(AZ-2),AZ,2,45100,22300,4700,8000,1200,8400,2000,22800
Arizona,Raúl M. Grijalva (AZ-3),(AZ-3),AZ,3,59200,35500,7800,13400,1900,12400,2300,23700
Arizona,Paul A. Gosar (AZ-4),(AZ-4),AZ,4,48600,23900,5200,8800,1300,8700,2600,24800
Arizona,Andy Biggs (AZ-5),(AZ-5),AZ,5,39500,14600,3200,5400,800,5300,1500,24900
Arizona,David Schweikert (AZ-6),(AZ-6),AZ,6,41300,16400,3300,5600,800,6700,1700,24900
Arizona,Ruben Gallego (AZ-7),(AZ-7),AZ,7,82800,57900,11100,18800,2700,25300,1700,24900
Arizona,Trent Franks (AZ-8),(AZ-8),AZ,8,41700,16900,3700,6400,900,5800,2000,24900
Arizona,Kyrsten Sinema (AZ-9),(AZ-9),AZ,9,52900,28000,5500,9300,1300,12000,1700,24900
Arkansas,"Eric A. ""Rick"" Crawford (AR-1)",(AR-1),AR,1,47300,40700,1300,16700,3900,18800,3600,6600
Arkansas,J. French Hill (AR-2),(AR-2),AR,2,37500,30500,1000,12800,3000,13800,2200,7000
Arkansas,Steve Womack (AR-3),(AR-3),AR,3,42600,34800,1000,12900,3000,17900,2000,7900
Arkansas,Bruce Westerman (AR-4),(AR-4),AR,4,45000,38600,1200,15500,3600,18400,3200,6400
California,Doug LaMalfa (CA-1),(CA-1),CA,1,46200,32700,5800,11600,2300,13000,3100,13500
California,Jared Huffman (CA-2),(CA-2),CA,2,39800,25200,4300,8500,1700,10800,2300,14500
California,John Garamendi (CA-3),(CA-3),CA,3,40900,29400,5300,10400,2100,11700,2600,11400
California,Tom McClintock (CA-4),(CA-4),CA,4,33600,19000,3200,6300,1300,8300,2700,14600
California,Mike Thompson (CA-5),(CA-5),CA,5,39200,25400,4400,8600,1700,10700,2500,13800
California,Doris O. Matsui (CA-6),(CA-6),CA,6,55400,42600,7200,14300,2900,18200,3600,12800
California,Ami Bera (CA-7),(CA-7),CA,7,37800,24900,4400,8700,1700,10100,2900,12900
California,Paul Cook (CA-8),(CA-8),CA,8,52400,39600,6600,13100,2600,17200,2800,12900
California,Jerry McNerney (CA-9),(CA-9),CA,9,52900,40000,7000,13900,2800,16300,3600,12900
California,Jeff Denham (CA-10),(CA-10),CA,10,48500,35700,6200,12200,2400,15000,3200,12800
California,Mark DeSaulnier (CA-11),(CA-11),CA,11,38600,25400,4100,8200,1600,11400,3000,13200
California,Nancy Pelosi (CA-12),(CA-12),CA,12,37700,22100,4100,8100,1600,8200,6100,15600
California,Barbara Lee (CA-13),(CA-13),CA,13,45200,29800,4900,9600,1900,13300,4000,15500
California,Jackie Speier (CA-14),(CA-14),CA,14,28500,15900,2800,5600,1100,6400,3400,12500
California,Eric Swalwell (CA-15),(CA-15),CA,15,35000,19800,3700,7400,1500,7100,3000,15200
California,Jim Costa (CA-16),(CA-16),CA,16,68900,57100,10600,21000,4200,21300,3800,11800
California,Ro Khanna (CA-17),(CA-17),CA,17,27600,14000,2600,5100,1000,5400,4200,13600
California,Anna G. Eshoo (CA-18),(CA-18),CA,18,25900,12700,1900,3800,800,6200,2700,13100
California,Zoe Lofgren (CA-19),(CA-19),CA,19,42700,29800,5300,10500,2100,11900,5300,12900
California,Jimmy Panetta (CA-20),(CA-20),CA,20,48800,34300,5300,10500,2100,16400,2700,14500
California,David G. Valadao (CA-21),(CA-21),CA,21,62300,52600,8600,17000,3400,23500,3300,9800
California,Devin Nunes (CA-22),(CA-22),CA,22,51300,40600,7000,13900,2800,16900,3000,10700
California,Kevin McCarthy (CA-23),(CA-23),CA,23,46000,35500,6000,11800,2400,15400,2500,10500
California,Salud O. Carbajal (CA-24),(CA-24),CA,24,40000,25100,3900,7800,1600,11800,2300,14900
California,Stephen Knight (CA-25),(CA-25),CA,25,42800,27100,4600,9100,1800,11600,2300,15700
California,Julia Brownley (CA-26),(CA-26),CA,26,42100,26400,4000,7800,1600,13100,2800,15600
California,Judy Chu (CA-27),(CA-27),CA,27,39900,24300,3400,6700,1300,12800,6000,15600
California,Adam B. Schiff (CA-28),(CA-28),CA,28,45500,29800,4100,8100,1600,15900,7800,15700
California,Tony Cárdenas (CA-29),(CA-29),CA,29,65800,50100,7600,15000,3000,24600,4500,15700
California,Brad Sherman (CA-30),(CA-30),CA,30,43700,28000,3600,7100,1400,15900,4300,15700
California,Pete Aguilar (CA-31),(CA-31),CA,31,53200,40500,6500,12800,2600,18700,3400,12700
California,Grace F. Napolitano (CA-32),(CA-32),CA,32,51800,36100,6200,12200,2400,15300,5100,15700
California,Ted Lieu (CA-33),(CA-33),CA,33,26600,10900,1400,2800,600,6200,2700,15700
California,vacant (CA-34),(CA-34),CA,34,74700,59100,7400,14700,2900,34000,5400,15700
California,Norma J. Torres (CA-35),(CA-35),CA,35,56100,42800,6900,13600,2700,19500,3100,13300
California,Raul Ruiz (CA-36),(CA-36),CA,36,55800,42100,6700,13200,2600,19700,3600,13700
California,Karen Bass (CA-37),(CA-37),CA,37,56200,40500,5500,11000,2200,21800,4500,15700
California,Linda T. Sánchez (CA-38),(CA-38),CA,38,45900,30100,4500,8800,1800,15100,4000,15700
California,Edward R. Royce (CA-39),(CA-39),CA,39,37800,22000,2900,5800,1200,12200,3100,15800
California,Lucille Roybal-Allard (CA-40),(CA-40),CA,40,81200,65500,9200,18300,3700,34300,4600,15700
California,Mark Takano (CA-41),(CA-41),CA,41,55600,41900,6800,13400,2700,19100,2700,13700
California,Ken Calvert (CA-42),(CA-42),CA,42,39300,25700,3900,7700,1500,12500,2800,13700
California,Maxine Waters (CA-43),(CA-43),CA,43,58600,42900,6400,12700,2500,21200,4200,15700
California,Nanette Diaz Barragán (CA-44),(CA-44),CA,44,65500,49900,7900,15600,3100,23300,4300,15700
California,Mimi Walters (CA-45),(CA-45),CA,45,28600,12200,1900,3800,800,5800,2900,16400
California,J. Luis Correa (CA-46),(CA-46),CA,46,64300,47900,6800,13400,2700,25100,3200,16400
California,Alan S. Lowenthal (CA-47),(CA-47),CA,47,51000,35000,5400,10600,2100,16900,4000,15900
California,Dana Rohrabacher (CA-48),(CA-48),CA,48,38700,22300,3000,5900,1200,12300,2900,16400
California,Darrell E. Issa (CA-49),(CA-49),CA,49,33600,17300,2200,4400,900,9800,1400,16300
California,Duncan Hunter (CA-50),(CA-50),CA,50,43500,27400,3900,7800,1600,14200,2200,16000
California,Juan Vargas (CA-51),(CA-51),CA,51,67900,48400,7600,15000,3000,22800,5900,19500
California,Scott H. Peters (CA-52),(CA-52),CA,52,30200,13800,1800,3600,700,7700,2300,16300
California,Susan A. Davis (CA-53),(CA-53),CA,53,41900,25600,3700,7400,1500,13000,3000,16300
Colorado,Diana DeGette (CO-1),(CO-1),CO,1,42900,34900,4200,12100,1800,16800,1700,8000
Colorado,Jared Polis (CO-2),(CO-2),CO,2,26900,17100,1600,4700,700,10000,1000,9800
Colorado,Scott R. Tipton (CO-3),(CO-3),CO,3,43200,34300,3800,10800,1600,18100,2300,8900
Colorado,Ken Buck (CO-4),(CO-4),CO,4,31500,24600,3000,8500,1300,11700,1600,6900
Colorado,Doug Lamborn (CO-5),(CO-5),CO,5,29200,24200,3000,8400,1300,11500,1300,5000
Colorado,Mike Coffman (CO-6),(CO-6),CO,6,33400,26700,2800,7900,1200,14800,1200,6700
Colorado,Ed Perlmutter (CO-7),(CO-7),CO,7,33000,26700,3100,8900,1400,13300,1900,6300
Connecticut,John B. Larson (CT-1),(CT-1),CT,1,43400,26200,7100,8100,1000,10100,2300,17200
Connecticut,Joe Courtney (CT-2),(CT-2),CT,2,37300,20100,5900,6800,800,6600,1800,17200
Connecticut,Rosa L. DeLauro (CT-3),(CT-3),CT,3,40900,23700,6800,7700,900,8200,2000,17200
Connecticut,James A. Himes (CT-4),(CT-4),CT,4,42900,25700,5700,6500,800,12700,1400,17200
Connecticut,Elizabeth H. Esty (CT-5),(CT-5),CT,5,42300,25100,6900,7800,900,9400,1800,17200
Delaware,Lisa Blunt Rochester (DE-AL),(DE-AL),DE,0,59500,37500,9800,11100,1500,15100,1800,22000
District of Columbia,Eleanor Holmes Norton (DC-AL),(DC-AL),DC,0,41200,34400,9500,8300,2600,14000,4500,6800
Florida,Matt Gaetz (FL-1),(FL-1),FL,1,57600,41000,2600,9300,1500,27600,1200,16600
Florida,Neal P. Dunn (FL-2),(FL-2),FL,2,66300,49500,3100,11000,1800,33600,1800,16800
Florida,Ted S. Yoho (FL-3),(FL-3),FL,3,66100,47400,2600,9300,1500,34000,1700,18700
Florida,John H. Rutherford (FL-4),(FL-4),FL,4,64200,42900,2700,9700,1600,29000,1400,21300
Florida,"Al Lawson, Jr. (FL-5)",(FL-5),FL,5,67800,49600,2900,10600,1700,34400,1500,18100
Florida,Ron DeSantis (FL-6),(FL-6),FL,6,71600,45500,2500,9100,1500,32400,2200,26000
Florida,Stephanie N. Murphy (FL-7),(FL-7),FL,7,72600,41600,2400,8500,1400,29400,1400,31000
Florida,Bill Posey (FL-8),(FL-8),FL,8,63500,40200,2400,8600,1400,27800,1900,23300
Florida,Darren Soto (FL-9),(FL-9),FL,9,89400,57600,3500,12700,2000,39300,1900,31800
Florida,Val Butler Demings (FL-10),(FL-10),FL,10,85200,50700,2900,10400,1700,35800,1600,34500
Florida,Daniel Webster (FL-11),(FL-11),FL,11,67400,45400,2700,9800,1600,31300,2200,22000
Florida,Gus M. Bilirakis (FL-12),(FL-12),FL,12,65800,42700,2600,9400,1500,29200,2100,23200
Florida,Charlie Crist (FL-13),(FL-13),FL,13,63800,40200,2300,8300,1300,28200,2000,23600
Florida,Kathy Castor (FL-14),(FL-14),FL,14,71200,48900,3100,11100,1800,33000,1700,22300
Florida,Dennis A. Ross (FL-15),(FL-15),FL,15,71500,50300,3100,11300,1800,34000,1800,21200
Florida,Vern Buchanan (FL-16),(FL-16),FL,16,63700,41100,2400,8600,1400,28700,1900,22600
Florida,Thomas J. Rooney (FL-17),(FL-17),FL,17,68500,47600,2800,10100,1600,33000,2400,21000
Florida,Brian J. Mast (FL-18),(FL-18),FL,18,76300,44200,2600,9400,1500,30700,2000,32000
Florida,Francis Rooney (FL-19),(FL-19),FL,19,72500,45700,2600,9200,1500,32400,2000,26800
Florida,Alcee L. Hastings (FL-20),(FL-20),FL,20,85600,43200,2500,9000,1400,30200,2000,42400
Florida,Lois Frankel (FL-21),(FL-21),FL,21,78100,41200,2300,8300,1300,29400,1900,36900
Florida,Theodore E. Deutch (FL-22),(FL-22),FL,22,87300,43600,2600,9200,1500,30400,2000,43700
Florida,Debbie Wasserman Schultz (FL-23),(FL-23),FL,23,91300,45500,2700,9600,1500,31700,2300,45800
Florida,Frederica S. Wilson (FL-24),(FL-24),FL,24,106800,56100,3100,11200,1800,39900,4400,50700
Florida,Mario Diaz-Balart (FL-25),(FL-25),FL,25,98600,54200,3000,10800,1700,38700,3800,44400
Florida,Carlos Curbelo (FL-26),(FL-26),FL,26,104700,55400,3000,11000,1800,39600,4400,49400
Florida,Ileana Ros-Lehtinen (FL-27),(FL-27),FL,27,109100,57700,3200,11500,1800,41200,4700,51400
Georgia,"Earl L. ""Buddy"" Carter (GA-1)",(GA-1),GA,1,64800,47200,1900,10600,1800,32800,1700,17500
Georgia,"Sanford D. Bishop, Jr. (GA-2)",(GA-2),GA,2,76100,63800,2700,14500,2500,44100,2800,12300
Georgia,"A. Drew Ferguson, IV (GA-3)",(GA-3),GA,3,57900,42100,1900,10600,1800,27700,1700,15800
Georgia,"Henry C. ""Hank"" Johnson, Jr. (GA-4)",(GA-4),GA,4,78900,53900,2200,11900,2000,37900,1500,25000
Georgia,John Lewis (GA-5),(GA-5),GA,5,82300,60000,2400,12900,2200,42500,1900,22300
Georgia,Karen Handel (GA-6),(GA-6),GA,6,53600,31400,900,4800,800,24800,1000,22200
Georgia,Rob Woodall (GA-7),(GA-7),GA,7,71100,41800,1500,8100,1400,30900,1200,29300
Georgia,Austin Scott (GA-8),(GA-8),GA,8,66600,55200,2100,11600,2000,39500,2200,11400
Georgia,Doug Collins (GA-9),(GA-9),GA,9,68800,52200,2000,10700,1800,37700,2200,16600
Georgia,Jody B. Hice (GA-10),(GA-10),GA,10,59200,43200,1700,9400,1600,30500,2000,16000
Georgia,Barry Loudermilk (GA-11),(GA-11),GA,11,64900,43900,1300,7400,1300,33900,900,21000
Georgia,Rick W. Allen (GA-12),(GA-12),GA,12,72900,57500,2400,13200,2300,39600,2000,15400
Georgia,David Scott (GA-13),(GA-13),GA,13,77200,54500,2100,11700,2000,38700,1000,22700
Georgia,Tom Graves (GA-14),(GA-14),GA,14,68900,54900,2200,11800,2000,38900,2200,13900
Hawaii,Colleen Hanabusa (HI-1),(HI-1),HI,1,23000,20000,4200,5400,1200,9200,3100,3000
Hawaii,Tulsi Gabbard (HI-2),(HI-2),HI,2,35200,30500,5900,7700,1700,15200,1800,4700
Idaho,Raúl R. Labrador (ID-1),(ID-1),ID,1,72200,43900,2600,11000,1900,28400,2100,28300
Idaho,Michael K. Simpson (ID-2),(ID-2),ID,2,72500,44300,2400,10100,1700,30000,2000,28300
Illinois,Bobby L. Rush (IL-1),(IL-1),IL,1,42900,30200,5800,12400,1600,10400,3600,12700
Illinois,Robin L. Kelly (IL-2),(IL-2),IL,2,45600,33600,6700,14200,1800,10900,3300,12000
Illinois,Daniel Lipinski (IL-3),(IL-3),IL,3,38500,25800,5000,10500,1300,9000,1800,12700
Illinois,Luis V. Gutiérrez (IL-4),(IL-4),IL,4,59000,46300,7800,16500,2100,19900,2100,12800
Illinois,Mike Quigley (IL-5),(IL-5),IL,5,29500,16500,2600,5500,700,7600,2400,13000
Illinois,Peter J. Roskam (IL-6),(IL-6),IL,6,24900,10100,2100,4600,600,2900,1400,14800
Illinois,Danny K. Davis (IL-7),(IL-7),IL,7,49700,36900,6700,14200,1800,14200,3600,12800
Illinois,Raja Krishnamoorthi (IL-8),(IL-8),IL,8,37600,23800,4700,9900,1200,8000,2000,13800
Illinois,Janice D. Schakowsky (IL-9),(IL-9),IL,9,31700,18900,3200,6800,900,8100,3000,12800
Illinois,Bradley Scott Schneider (IL-10),(IL-10),IL,10,32700,18800,3700,7800,1000,6400,1700,13900
Illinois,Bill Foster (IL-11),(IL-11),IL,11,36000,22800,4300,9100,1200,8200,1100,13200
Illinois,Mike Bost (IL-12),(IL-12),IL,12,35500,26000,5200,11100,1400,8400,2500,9500
Illinois,Rodney Davis (IL-13),(IL-13),IL,13,32500,23200,4600,9800,1200,7500,1900,9400
Illinois,Randy Hultgren (IL-14),(IL-14),IL,14,27500,13800,3000,6300,800,3800,1000,13700
Illinois,John Shimkus (IL-15),(IL-15),IL,15,34700,23700,5200,10900,1400,6200,2800,11000
Illinois,Adam Kinzinger (IL-16),(IL-16),IL,16,31000,19700,4100,8700,1100,5800,2100,11300
Illinois,Cheri Bustos (IL-17),(IL-17),IL,17,40200,29600,6000,12800,1600,9100,2900,10700
Illinois,Darin LaHood (IL-18),(IL-18),IL,18,25300,15800,3500,7400,900,4000,1900,9400
Indiana,Peter J. Visclosky (IN-1),(IN-1),IN,1,29500,23300,2900,9800,1700,8900,2000,6300
Indiana,Jackie Walorski (IN-2),(IN-2),IN,2,32700,26000,2800,9600,1700,11900,1900,6800
Indiana,Jim Banks (IN-3),(IN-3),IN,3,29600,23300,2700,9000,1600,9900,1500,6300
Indiana,Todd Rokita (IN-4),(IN-4),IN,4,25200,18900,2200,7300,1300,8000,1500,6400
Indiana,Susan W. Brooks (IN-5),(IN-5),IN,5,24200,16300,1800,6200,1100,7200,1500,7900
Indiana,Luke Messer (IN-6),(IN-6),IN,6,28900,22900,2700,9100,1600,9400,2300,6100
Indiana,André Carson (IN-7),(IN-7),IN,7,46900,39600,4900,16600,3000,15100,2000,7300
Indiana,Larry Bucshon (IN-8),(IN-8),IN,8,27600,20900,2400,8200,1500,8800,2200,6700
Indiana,Trey Hollingsworth (IN-9),(IN-9),IN,9,25800,19000,2400,7900,1400,7300,1800,6700
Iowa,Rod Blum (IA-1),(IA-1),IA,1,30100,21800,4300,8400,1700,7400,2000,8300
Iowa,David Loebsack (IA-2),(IA-2),IA,2,33300,24900,4700,9200,1900,9000,2000,8400
Iowa,David Young (IA-3),(IA-3),IA,3,33500,23900,4700,9200,1900,8200,1900,9600
Iowa,Steve King (IA-4),(IA-4),IA,4,31000,23100,4200,8200,1700,9100,2000,8000
Kansas,Roger W. Marshall (KS-1),(KS-1),KS,1,46200,32800,1500,8500,1500,21200,1600,13500
Kansas,Lynn Jenkins (KS-2),(KS-2),KS,2,50300,35800,1600,8900,1600,23700,1600,14500
Kansas,Kevin Yoder (KS-3),(KS-3),KS,3,48800,28800,1300,7200,1300,19000,1300,20000
Kansas,Ron Estes (KS-4),(KS-4),KS,4,52900,38500,1800,9900,1700,25100,1600,14400
Kentucky,James Comer (KY-1),(KY-1),KY,1,40600,34700,2500,10400,3100,18700,3100,5900
Kentucky,Brett Guthrie (KY-2),(KY-2),KY,2,34700,28600,2200,9100,2700,14500,2500,6100
Kentucky,John A. Yarmuth (KY-3),(KY-3),KY,3,36400,30300,2300,9700,2800,15500,2100,6000
Kentucky,Thomas Massie (KY-4),(KY-4),KY,4,30300,24200,1900,7800,2300,12200,1900,6200
Kentucky,Harold Rogers (KY-5),(KY-5),KY,5,51100,45300,3700,15500,4600,21500,4000,5800
Kentucky,Andy Barr (KY-6),(KY-6),KY,6,38300,32200,2200,9300,2700,17900,2300,6200
