state_name,rep_name,district_name,state,district,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
National,,,,,22000000,15000000,1626000,4228000,846000,8300000,1074000,7000000
Alabama,,,AL,,480500,310000,6800,84300,17700,200900,14600,170600
Alaska,,,AK,,64500,17200,3600,8900,1400,3300,2000,47300
Arizona,,,AZ,,461000,246200,51600,87800,12600,94300,18100,215100
Arkansas,,,AR,,172400,144600,4500,57900,13500,68900,11000,27900
California,,,CA,,2483000,1714800,271000,536200,107300,800900,187600,767900
Colorado,,,CO,,240100,188500,21500,61300,9300,96200,11000,51600
Connecticut,,,CT,,206800,120800,32400,36900,4400,47000,9300,86000
Delaware,,,DE,,59500,37500,9800,11100,1500,15100,1800,22000
District of Columbia,,,DC,,41200,34400,9500,8300,2600,14000,4500,6800
Florida,,,FL,,2086500,1269000,74200,267000,42900,884900,60200,817500
Georgia,,,GA,,963200,701600,27300,149200,25500,499500,24300,261400
Hawaii,,,HI,,58200,50500,10100,13100,2900,24400,4900,7700
Idaho,,,ID,,144700,88200,5000,21100,3600,58400,4100,56600
Illinois,,,IL,,654800,435500,84200,178500,22600,150400,41100,219500
Indiana,,,IN,,270400,210200,24800,83700,14900,86500,16700,60500
Iowa,,,IA,,127900,93700,17900,35000,7200,33700,7900,34300
Kansas,,,KS,,198200,135900,6200,34500,6100,89000,6100,62400
Kentucky,,,KY,,231400,195300,14800,61800,18200,100300,15900,36200
Louisiana,,,LA,,343000,188800,32900,69700,17100,69000,23600,154200
Maine,,,ME,,117900,62400,12400,16900,5100,28100,6400,55400
Maryland,,,MD,,227400,164800,37900,60800,10000,56300,12800,62600
Massachusetts,,,MA,,285300,259800,64100,65500,40900,89500,37200,25200
Michigan,,,MI,,489400,378700,53300,149200,32400,143400,32400,110900
Minnesota,,,MN,,217600,137500,37100,48200,9800,42400,15200,79800
Mississippi,,,MS,,278000,235400,10000,59700,13800,151800,12300,42500
Missouri,,,MO,,479600,307000,14200,75400,17000,200100,18400,172600
Montana,,,MT,,81100,28500,2600,13000,2300,10600,1900,52700
Nebraska,,,NE,,173100,81200,4800,20000,3700,52800,4400,91900
Nevada,,,NV,,122500,87300,7900,29800,3500,46100,3900,35500
New Hampshire,,,NH,,45500,29900,2400,13200,2300,12000,2400,15600
New Jersey,,,NJ,,418300,267800,22700,102900,20600,121500,26000,150200
New Mexico,,,NM,,133400,117300,13100,44300,4900,55100,6000,16000
New York,,,NY,,1139000,1001700,244600,231000,51500,474500,103300,137500
North Carolina,,,NC,,1348300,638900,29900,148900,29900,429700,32500,709500
North Dakota,,,ND,,25100,12600,1600,5600,900,4400,1400,12500
Ohio,,,OH,,469600,396300,74400,140700,27600,153500,32000,73100
Oklahoma,,,OK,,395100,238100,14400,57900,9600,156400,12000,157000
Oregon,,,OR,,283300,203800,23900,46800,8400,124700,9500,79600
Pennsylvania,,,PA,,731000,409000,41300,147100,61500,159100,56400,322000
Rhode Island,,,RI,,45800,35300,6200,11600,3900,13700,4000,10600
South Carolina,,,SC,,458000,305300,16100,75000,14100,200100,16400,152800
South Dakota,,,SD,,63700,39500,2500,10900,1600,24500,1800,24300
Tennessee,,,TN,,634600,395000,35400,97500,17800,244200,20000,239500
Texas,,,TX,,2430600,1890400,43400,446700,60800,1339200,65700,540200
Utah,,,UT,,186000,119100,9000,26400,3900,79800,3900,66900
Vermont,,,VT,,51200,32900,8900,7800,1900,14300,3100,18400
Virginia,,,VA,,521800,329400,17500,75400,13500,222900,17000,192300
Washington,,,WA,,298700,264300,16700,97400,15600,134600,18700,34300
West Virginia,,,WV,,118100,83700,6400,26900,9500,40800,7900,34500
Wisconsin,,,WI,,394100,241300,41900,62800,15400,121400,23500,152500
Wyoming,,,WY,,49000,23500,900,5800,700,16000,900,25600
