id,first_name,last_name,type,state,district,party,twitter_handle,state_name,rep_name,district_name,total_loss,nonelderly_subtotal,medicaid_adults,medicaid_children,medicaid_disabled,medicid_expansion,medicaid_elderly,indiv_market
B000944,Sherrod,Brown,sen,OH,,Democrat,SenSherrodBrown,Ohio,,,469600.0,396300.0,74400.0,140700.0,27600.0,153500.0,32000.0,73100.0
C000127,Maria,Cantwell,sen,WA,,Democrat,SenatorCantwell,Washington,,,298700.0,264300.0,16700.0,97400.0,15600.0,134600.0,18700.0,34300.0
C000141,Benjamin,Cardin,sen,MD,,Democrat,SenatorCardin,Maryland,,,227400.0,164800.0,37900.0,60800.0,10000.0,56300.0,12800.0,62600.0
C000174,Thomas,Carper,sen,DE,,Democrat,SenatorCarper,Delaware,,,59500.0,37500.0,9800.0,11100.0,1500.0,15100.0,1800.0,22000.0
C001070,Robert,Casey,sen,PA,,Democrat,SenBobCasey,Pennsylvania,,,731000.0,409000.0,41300.0,147100.0,61500.0,159100.0,56400.0,322000.0
C001071,Bob,Corker,sen,TN,,Republican,SenBobCorker,Tennessee,,,634600.0,395000.0,35400.0,97500.0,17800.0,244200.0,20000.0,239500.0
F000062,Dianne,Feinstein,sen,CA,,Democrat,SenFeinstein,California,,,2483000.0,1714800.0,271000.0,536200.0,107300.0,800900.0,187600.0,767900.0
H000338,Orrin,Hatch,sen,UT,,Republican,SenOrrinHatch,Utah,,,186000.0,119100.0,9000.0,26400.0,3900.0,79800.0,3900.0,66900.0
K000367,Amy,Klobuchar,sen,MN,,Democrat,,Minnesota,,,217600.0,137500.0,37100.0,48200.0,9800.0,42400.0,15200.0,79800.0
M001170,Claire,McCaskill,sen,MO,,Democrat,McCaskillOffice,Missouri,,,479600.0,307000.0,14200.0,75400.0,17000.0,200100.0,18400.0,172600.0
M000639,Robert,Menéndez,sen,NJ,,Democrat,SenatorMenendez,New Jersey,,,418300.0,267800.0,22700.0,102900.0,20600.0,121500.0,26000.0,150200.0
N000032,Bill,Nelson,sen,FL,,Democrat,SenBillNelson,Florida,,,2086500.0,1269000.0,74200.0,267000.0,42900.0,884900.0,60200.0,817500.0
S000033,Bernard,Sanders,sen,VT,,Independent,SenSanders,Vermont,,,51200.0,32900.0,8900.0,7800.0,1900.0,14300.0,3100.0,18400.0
S000770,Debbie,Stabenow,sen,MI,,Democrat,SenStabenow,Michigan,,,489400.0,378700.0,53300.0,149200.0,32400.0,143400.0,32400.0,110900.0
T000464,Jon,Tester,sen,MT,,Democrat,SenatorTester,Montana,,,81100.0,28500.0,2600.0,13000.0,2300.0,10600.0,1900.0,52700.0
W000802,Sheldon,Whitehouse,sen,RI,,Democrat,SenWhitehouse,Rhode Island,,,45800.0,35300.0,6200.0,11600.0,3900.0,13700.0,4000.0,10600.0
B001261,John,Barrasso,sen,WY,,Republican,SenJohnBarrasso,Wyoming,,,49000.0,23500.0,900.0,5800.0,700.0,16000.0,900.0,25600.0
W000437,Roger,Wicker,sen,MS,,Republican,SenatorWicker,Mississippi,,,278000.0,235400.0,10000.0,59700.0,13800.0,151800.0,12300.0,42500.0
A000360,Lamar,Alexander,sen,TN,,Republican,SenAlexander,Tennessee,,,634600.0,395000.0,35400.0,97500.0,17800.0,244200.0,20000.0,239500.0
C000567,Thad,Cochran,sen,MS,,Republican,SenThadCochran,Mississippi,,,278000.0,235400.0,10000.0,59700.0,13800.0,151800.0,12300.0,42500.0
C001035,Susan,Collins,sen,ME,,Republican,SenatorCollins,Maine,,,117900.0,62400.0,12400.0,16900.0,5100.0,28100.0,6400.0,55400.0
C001056,John,Cornyn,sen,TX,,Republican,JohnCornyn,Texas,,,2430600.0,1890400.0,43400.0,446700.0,60800.0,1339200.0,65700.0,540200.0
D000563,Richard,Durbin,sen,IL,,Democrat,SenatorDurbin,Illinois,,,654800.0,435500.0,84200.0,178500.0,22600.0,150400.0,41100.0,219500.0
E000285,Michael,Enzi,sen,WY,,Republican,SenatorEnzi,Wyoming,,,49000.0,23500.0,900.0,5800.0,700.0,16000.0,900.0,25600.0
G000359,Lindsey,Graham,sen,SC,,Republican,GrahamBlog,South Carolina,,,458000.0,305300.0,16100.0,75000.0,14100.0,200100.0,16400.0,152800.0
I000024,James,Inhofe,sen,OK,,Republican,InhofePress,Oklahoma,,,395100.0,238100.0,14400.0,57900.0,9600.0,156400.0,12000.0,157000.0
M000355,Mitch,McConnell,sen,KY,,Republican,McConnellPress,Kentucky,,,231400.0,195300.0,14800.0,61800.0,18200.0,100300.0,15900.0,36200.0
M001176,Jeff,Merkley,sen,OR,,Democrat,SenJeffMerkley,Oregon,,,283300.0,203800.0,23900.0,46800.0,8400.0,124700.0,9500.0,79600.0
R000122,John,Reed,sen,RI,,Democrat,SenJackReed,Rhode Island,,,45800.0,35300.0,6200.0,11600.0,3900.0,13700.0,4000.0,10600.0
R000584,James,Risch,sen,ID,,Republican,SenatorRisch,Idaho,,,144700.0,88200.0,5000.0,21100.0,3600.0,58400.0,4100.0,56600.0
R000307,Pat,Roberts,sen,KS,,Republican,SenPatRoberts,Kansas,,,198200.0,135900.0,6200.0,34500.0,6100.0,89000.0,6100.0,62400.0
S001181,Jeanne,Shaheen,sen,NH,,Democrat,SenatorShaheen,New Hampshire,,,45500.0,29900.0,2400.0,13200.0,2300.0,12000.0,2400.0,15600.0
U000039,Tom,Udall,sen,NM,,Democrat,SenatorTomUdall,New Mexico,,,133400.0,117300.0,13100.0,44300.0,4900.0,55100.0,6000.0,16000.0
W000805,Mark,Warner,sen,VA,,Democrat,MarkWarner,Virginia,,,521800.0,329400.0,17500.0,75400.0,13500.0,222900.0,17000.0,192300.0
G000555,Kirsten,Gillibrand,sen,NY,,Democrat,SenGillibrand,New York,,,1139000.0,1001700.0,244600.0,231000.0,51500.0,474500.0,103300.0,137500.0
F000457,Alan,Franken,sen,MN,,Democrat,SenFranken,Minnesota,,,217600.0,137500.0,37100.0,48200.0,9800.0,42400.0,15200.0,79800.0
C001088,Chris,Coons,sen,DE,,Democrat,SenCoonsOffice,Delaware,,,59500.0,37500.0,9800.0,11100.0,1500.0,15100.0,1800.0,22000.0
M001183,Joe,Manchin,sen,WV,,Democrat,Sen_JoeManchin,West Virginia,,,118100.0,83700.0,6400.0,26900.0,9500.0,40800.0,7900.0,34500.0
A000055,Robert,Aderholt,rep,AL,4.0,Republican,Robert_Aderholt,Alabama,Robert B. Aderholt (AL-4),(AL-4),70900.0,46900.0,1000.0,12100.0,2600.0,31200.0,2500.0,24000.0
A000367,Justin,Amash,rep,MI,3.0,Republican,,Michigan,Justin Amash (MI-3),(MI-3),32700.0,25500.0,3700.0,10300.0,2200.0,9200.0,1800.0,7300.0
B001230,Tammy,Baldwin,sen,WI,,Democrat,SenatorBaldwin,Wisconsin,,,394100.0,241300.0,41900.0,62800.0,15400.0,121400.0,23500.0,152500.0
B001269,Lou,Barletta,rep,PA,11.0,Republican,RepLouBarletta,Pennsylvania,Lou Barletta (PA-11),(PA-11),36800.0,21300.0,2100.0,7400.0,3100.0,8800.0,3200.0,15500.0
B000213,Joe,Barton,rep,TX,6.0,Republican,RepJoeBarton,Texas,Joe Barton (TX-6),(TX-6),59900.0,44600.0,1000.0,10400.0,1400.0,31800.0,1200.0,15300.0
B001270,Karen,Bass,rep,CA,37.0,Democrat,RepKarenBass,California,Karen Bass (CA-37),(CA-37),56200.0,40500.0,5500.0,11000.0,2200.0,21800.0,4500.0,15700.0
B001267,Michael,Bennet,sen,CO,,Democrat,SenBennetCo,Colorado,,,240100.0,188500.0,21500.0,61300.0,9300.0,96200.0,11000.0,51600.0
B001257,Gus,Bilirakis,rep,FL,12.0,Republican,RepGusBilirakis,Florida,Gus M. Bilirakis (FL-12),(FL-12),65800.0,42700.0,2600.0,9400.0,1500.0,29200.0,2100.0,23200.0
B001250,Rob,Bishop,rep,UT,1.0,Republican,RepRobBishop,Utah,Rob Bishop (UT-1),(UT-1),39400.0,24700.0,2100.0,6200.0,900.0,15500.0,800.0,14700.0
B000490,Sanford,Bishop,rep,GA,2.0,Democrat,SanfordBishop,Georgia,"Sanford D. Bishop, Jr. (GA-2)",(GA-2),76100.0,63800.0,2700.0,14500.0,2500.0,44100.0,2800.0,12300.0
B001273,Diane,Black,rep,TN,6.0,Republican,RepDianeBlack,Tennessee,Diane Black (TN-6),(TN-6),69000.0,43400.0,4100.0,11100.0,2000.0,26200.0,2500.0,25600.0
B001243,Marsha,Blackburn,rep,TN,7.0,Republican,MarshaBlackburn,Tennessee,Marsha Blackburn (TN-7),(TN-7),62000.0,36500.0,3300.0,9100.0,1700.0,22400.0,2100.0,25500.0
B000574,Earl,Blumenauer,rep,OR,3.0,Democrat,BlumenauerMedia,Oregon,Earl Blumenauer (OR-3),(OR-3),62400.0,43000.0,4900.0,9500.0,1700.0,26900.0,1900.0,19400.0
B001277,Richard,Blumenthal,sen,CT,,Democrat,SenBlumenthal,Connecticut,,,206800.0,120800.0,32400.0,36900.0,4400.0,47000.0,9300.0,86000.0
B000575,Roy,Blunt,sen,MO,,Republican,RoyBlunt,Missouri,,,479600.0,307000.0,14200.0,75400.0,17000.0,200100.0,18400.0,172600.0
B001236,John,Boozman,sen,AR,,Republican,JohnBoozman,Arkansas,,,172400.0,144600.0,4500.0,57900.0,13500.0,68900.0,11000.0,27900.0
B001245,Madeleine,Bordallo,rep,GU,0.0,Democrat,,,,,,,,,,,,
B000755,Kevin,Brady,rep,TX,8.0,Republican,RepKevinBrady,Texas,Kevin Brady (TX-8),(TX-8),54000.0,40800.0,900.0,8900.0,1200.0,29800.0,1100.0,13200.0
